IDENTIFICATION,,,LOCALITY,,,,,,,,,,,,,,TIME,,,,,,,,,,PLANT,,,,,,,,,,,,,,,,,,,CAT DET.,,,,,,,LEP COMMENTS,,,TOID and EME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,tempID,Pinned,Date,Year,Month,Day,Site,Time,coord_approx_exact,Lat,Long,LatLong,plot_num,Plot_by_day,Location_Description,time_per,n_coll,time_cum,tree_ID,elev,forest_type,order,family,subfamily,tribe,subtribe,genus,plant_cn,Epiphyte,Epiphyte_of,HPlant,Plant_Genus,Plant_Sp,PlantIND,MicroMacro,N_collected,Need_Recount,life_stage,lep_fam,lep_subfam,lep_tribe,lep_genus,lep_sp,lep_name,suspected,common_name,Morpho,Status,Host_unconfirmed,Label_Tape,C.C.I,MORPHO,lep_comment,LifeHistoryNote,Btoid,pupal,toided,eme,toid_name,Parasitoid_Order,Parasitoid_Family,Parasitoid_Subfamily,Parasitoid_Tribe,toid_morpho,toid_ID,Identified_by,date_eclosed,number eclosed,result,lep_subfam,lep_cn,lep_sp,lep_comment,lep_determ,lep_voucher,color_morph,drop,thrash,bite,vomit,shelter_web,group,frass_thrower,ostemeria,hair,spiny,glabrous,urticate,mass,length,behav_comment,photo_num,p_endo_ecto,p_pupate_type,p_larva_hostlarva_hostpupa,p_adult_hostlarva_hostpupa,p_date_pupate,p_date_eclosed,p_pupate_loc,num_psit,p_behav,psit_fam,psit_subfam,psit_sp,p_comment,p_voucher,collector,p_determ,,,,,,
31,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,In,Larva,,9-Jun-09,28-Jun-09,Larval shelter,,,,,,,,,,,,,,,
32,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,adult,,,,,adult eclosed fubar inside curled leaf,,,9-Jun-09,,,,,,,,,,,,,adult,,pudgy greeney,,adult eclosed fubar inside curled leaf,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,In,Larva,,10-Jun-09,28-Jun-09,Larval shelter,Many,,,,,,,,,,,,,,
34,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,adult,,,,,,,,12-Jun-09,,26-Jun-09,,,,,,,,,,,adult,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,dead,,,,,was developing in pupa. but i squished it,,,12-Jun-09,,,,,,,,,,,,,dead,,pudgy greeney,,was developing in pupa. but i squished it,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,,,,,,,,,16-Jun-09,,,,,,,,,,,,,,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,,,,,,,,,16-Jun-09,,,,,,,,,,,,,,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,In,Larva,,13-Jun-09,29-Jun-09,Larval shelter,Many,,,,,,,,,,,,,,
39,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,Out,Larva,,13-Jun-09,,Larval shelter,1,,Braconidae,,,I squished psit beyond recognition. oops,,,,,,,,,
40,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,dead,,,,,looks like pupated poorly,,,16-Jun-09,,,,,,,,,,,,,dead,,pudgy greeney,,looks like pupated poorly,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,adult,,,,,,,,13-Jun-09,,28-Jun-09,,,,,,,,,,,adult,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,In,Larva,,,3-Jul-09,Larval shelter,Many,,,,,,,,,,,,,,
43,,,7-Jun-09,2009,June,7,Sagehen,,,,,,,,,,,,,,,,Salicaceae,,,,,Smooth-edge Willow,,,Salix sp,,,,,,,,,,,,,,,brown spaz,,adult,,,,,,,,10-Jun-09,,21-Jun-09,,,,,,,,,,,adult,,brown spaz,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_43_rearing,,,,,,,,,,,,,,,,,,,,,,
44,,,7-Jun-09,2009,June,7,Sagehen,,,,,,,,,,,,,,,,Salicaceae,,,,,Smooth-edge Willow,,,Salix sp,,,,,,,,,,,,,,,brown spaz,,psit,,,,,,,,,,,,,,,,,,,,,psit,,brown spaz,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,In,Larva,,15-Jun-09,2-Jul-09,Larval shelter,Many,,,,,,,,,,,,,,
45,,,7-Jun-09,2009,June,7,Sagehen,,,,,,,,,,,,,,,,Salicaceae,,,,,Smooth-edge Willow,,,Salix sp,,,,,,,,,,,,,,,green spaz,,psit,,,,,,,,,,,,,,,,,,,,,psit,,green spaz,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_45_rearing,Endo,Out,Larva,,10-Jun-09,18-Jun-09,top of bag. lots of silk around pupation area,1,Eclosion date not exact,,,,,,,,,,,,,
46,,,7-Jun-09,2009,June,7,Sagehen,,,,,,,,,,,,,,,,Apiaceae,,,,,Celery,,,,,,,,,,,,,,,,,,greeneys blackhead,,adult,,,,,,,,16-Jun-09,,28-Jun-09,,,,,,,,,,,adult,,greeneys blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_46_rearing,,,,,,,,,,,,,,,,,,,,,,
47,,,8-Jun-09,2009,June,9,First bridge,,,,,,,,,,,,,,,,Salicaceae,,,,,Teensy Willow,,,Salix sp,,,,,,,,,,,,,,,creamy greeney,,adult,,,,,,,,22-Jun-09,,17-Jul-09,,,,,,,,,,,adult,,creamy greeney,,,,,Cryptic,No,No,No,No,Multi-leaf,No,Yes,No,No,No,Yes,No,,,,SCRS_47_rearing,,,,,,,,,,,,,,,,,,,,,,
48,,,8-Jun-09,2009,June,9,First bridge,,,,,,,,,,,,,,,,Salicaceae,,,,,Fuzzy Willow,,,Salix sp,,,,,,,,,,,,,,,baby blackhead,,adult,,,,,,,,25-Jun-09,,20-Jul-09,,,,,,,,,,,adult,,baby blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,?,No,No,No,Yes,No,,,,SCRS_48_rearing,,,,,,,,,,,,,,,,,,,,,,
